Entity,TimeWindow,period_start,period_end,period_midpoint,count_docs_total_after_deduplication,count_attributable_docs_nonzero_unep,Ci_t_UNEP,extent_of_unep_attributed_capacity_evidence,max_document_contribution_sd,sum_document_contribution_sd,evidence_of_unep_attributed_capacity_strengthening,best_evidence_title,best_evidence_link,best_evidence_query,best_evidence_textfile,best_evidence_capacity_justification,best_evidence_unep_justification,best_evidence_phrases
Brazil,2014-2018,2014,2018,2016,46,3,58.67,moderate evidence,64.0,176.0,True,National Implementation Plan of Brazil for the Stockholm ...,https://www.gov.br/mma/pt-br/centrais-de-conteudo/publicacoes/qualidade-ambiental-e-meio-ambiente-urbano/pn-implementacao-pop-atualizacao-2023-en.pdf,UNEP supported Brazil environmental monitoring after:2014-01-01 before:2018-01-01,www_gov_br_National_Implementation_Plan_of_Brazil_for_the_Sto.txt,"The document provides clear evidence of Brazil's institutional and technical capacity to develop environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems/early warning systems, environmental information platforms, and national environmental reporting frameworks. Specifically, it mentions the development of a National Implementation Plan (NIP) for the Stockholm Convention on Persistent Organic Pollutants (POPs), which includes strategies for managing POPs, reducing releases, and promoting environmentally sound disposal. The plan involves various government agencies, research institutions, and stakeholders, demonstrating a strong institutional framework.","The document explicitly links UNEP to strengthening or enabling Brazil's capacity in environmental management. It mentions that the United Nations Environment Programme (UNEP) and the Global Environment Facility (GEF) provided support for the review and update of Brazil's NIP for the Stockholm Convention. UNEP's involvement includes providing technical assistance and guidance for the development of POP inventories, action plans, and the NIP update. The document highlights that UNEP's support enabled Brazil to strengthen its national capacity for managing POPs and to improve its institutional and technical capabilities.","[""The update of the Brazilian NIP focused on the revision of the inventories of the chemicals of industrial origin (HBCD, POP-PBDE and PFOS and PFOSF) taken as priority and the development of new inventories for the compounds listed after 2015 (decaBDE, dicofol, HCBD, PCNs, PCP, PFOA, SCCPs)."", ""Brazil has followed the provisions of the Stockholm Convention, in terms of not producing any of the listed POPs and only using them for their acceptable purposes and specific exceptions, within the period in which these were granted."", ""The MMA sought assistance from the UNEP–GEF to contract a consultant team of experts on POPs to review and develop new POP inventories and an individual consultant to prepare the NIP document."", ""The Ministry of the Environment and Climate Change of Brazil (Portuguese acronym MMA), in partnership with the United Nations Environment Programme (UNEP) and with funding from Global Environmental Facility (GEF), recognizes and acknowledges, on behalf of the UNEF/GEF project 'Review and Update of the national implementation plan (NIP) for the Stockholm Convention on persistent organic pollutants (POPs) in Brazil', the participation and active contribution of all agencies and institutions that provided information that guided the NIP update process on POPs in Brazil;""]"
Brazil,2018-2022,2018,2022,2020,37,0,0.0,no evidence,0.0,0.0,False,Understanding-and-Increasing-Finance-for- ...,http://climatepolicyinitiative.org/wp-content/uploads/2018/12/Understanding-and-Increasing-Finance-for-Climate-Adaptation-in-Developing-Countries-1.pdf,in partnership with UNEP Brazil early warning system after:2018-01-01 before:2022-01-01,climatepolicyinitiative_org_Understanding_and_Increasing_Finance_for_.txt,"The document does not contain explicit evidence related to Brazil in 2018-2022 about environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems / early warning systems, environmental information platforms, or national environmental reporting frameworks.",There is no explicit link between UNEP and strengthening or enabling capacity in Brazil during 2018-2022 mentioned in the document.,[]
Brazil,2022-2026,2022,2026,2024,38,5,54.72,moderate evidence,65.61,273.61,True,World's first impact bond on weather and climate data ...,https://www.unep.org/news-and-stories/press-release/worlds-first-impact-bond-weather-and-climate-data-opens,UNEP programme Brazil early warning system after:2022-01-01 before:2026-01-01,www_unep_org_World_s_first_impact_bond_on_weather_and_climate_d.txt,"The document mentions the Systematic Observations Financing Facility (SOFF), a United Nations fund created by the UN Environment Programme (UNEP), the World Meteorological Organization (WMO), and the United Nations Development Programme (UNDP). SOFF aims to close critical weather and climate data gaps, which is relevant to environmental data systems, monitoring systems/early warning systems, and national environmental reporting frameworks in Brazil during 2022-2026.","The document explicitly links UNEP to the creation of the Systematic Observations Financing Facility (SOFF) and its role in supporting the development of weather and climate data systems. UNEP's Executive Director, Inger Andersen, is quoted in the document, emphasizing the importance of closing the adaptation and data gap. The document also mentions that SOFF is a United Nations fund created by UNEP, WMO, and UNDP, which indicates a strong attribution of UNEP to the capacity development in Brazil.","[""The Systematic Observations Financing Facility (SOFF) today opened for contributions to raise USD 200 million towards a climate impact bond aimed at strengthening systematic observation of the planet and help close critical weather and climate data gaps."", ""The innovative tool is pioneered by the Systematic Observations Financing Facility (SOFF), a United Nations fund created by the UN Environment Programme (UNEP), the World Meteorological Organization (WMO) and the United Nations Development Programme (UNDP)."", ""“If we fail to close the adaptation and data gap now, we are simply locking in far higher costs and risks for the future. This proposed bond shows how public and private finance could unite to support resilience and safeguard lives in a changing climate,” said Inger Andersen, UNEP’s Executive Director.""]"
Egypt,2014-2018,2014,2018,2016,58,2,48.0,moderate evidence,48.0,96.0,True,ECAP SCIENCE-POLICY INTERFACE (SPI) BRIEF,https://planbleu.org/wp-content/uploads/2016/05/ecap_spi_brief_en_web.pdf,UNEP provided technical assistance Egypt scientific assessment after:2014-01-01 before:2018-01-01,planbleu_org_ECAP_SCIENCE_POLICY_INTERFACE_SPI_BRIEF.txt,"The document discusses the development of environmental data systems, specifically the Integrated Monitoring and Assessment Program (IMAP) and the Science-Policy Interface (SPI) for the Mediterranean region. Egypt is mentioned as one of the countries involved in the process. The document highlights the strengthening of the interface between science and policy, which implies some level of institutional/technical capacity development.",UNEP/MAP is explicitly mentioned as the organization supporting the EcAp MED II project (2015-2018) and the development of the Science-Policy Interface (SPI) for IMAP. The document credits UNEP/MAP for providing a framework for environmental protection and for supporting the implementation of the Ecosystem Approach (EcAp) and IMAP.,"[""UNEP/MAP and the Barcelona Convention have provided a unique political and legal framework for environmental protection"", ""EcAp MED II project 2015-2018 supported by the European Union"", ""SPI for UNEP/MAP, EcAp aims to build on this experience and on the knowledge brokering concept"", ""UNEP/MAP component representatives were present during the workshop"", ""Specific aims of the EcAp science policy strengthening action: Reflect relevant scientific recommendations and results in the documents prepared by UNEP/MAP""]"
Egypt,2018-2022,2018,2022,2020,39,0,0.0,no evidence,0.0,0.0,False,Report of the United Nations Environment Assembly of the ...,https://docs.un.org/en/a/73/25,UNEP supported Egypt state of environment report after:2018-01-01 before:2022-01-01,docs_un_org_Report_of_the_United_Nations_Environment_Assembly_.txt,The document does not contain any information about Egypt or the specified time window of 2018-2022.,The document does not contain any information about UNEP's involvement in Egypt or the specified time window of 2018-2022.,[]
Egypt,2022-2026,2022,2026,2024,70,7,43.43,moderate evidence,64.0,304.0,True,Data on SCP indicators for Mediterranean countries is now ...,https://switchmed.eu/news/data-on-scp-indicators-for-mediterranean-countries-is-now-available-in-mapx-the-unep-open-source-web-mapping-platform/,UNEP supported Egypt environmental data platform after:2022-01-01 before:2026-01-01,switchmed_eu_Data_on_SCP_indicators_for_Mediterranean_countries.txt,"The document mentions the availability of Sustainable Consumption and Production (SCP) indicators for Mediterranean countries, including Egypt, in MapX, a UNEP open-source web-mapping platform. This platform allows for the sharing of environmental data and provides functionalities such as querying specific data, cross-referencing of information, and increased accessibility. The collaboration with Plan Bleu and the use of MapX demonstrate a clear effort to develop environmental data systems and information platforms.","The document explicitly links UNEP to the development of the MapX platform and the availability of SCP indicators for Mediterranean countries. UNEP is mentioned as the provider of the platform and the data, and the SwitchMed Programme is implemented by UNIDO, UNEP, and MedWaves. The document credits UNEP for the development of the platform and the data sharing initiative.","[""Data on SCP indicators for Mediterranean countries is now available in MapX, the UNEP open-source web-mapping platform"", ""Thanks to a collaboration with Plan Bleu, the Observatory for the environment and development in the Mediterranean, the set of SCP indicators is available to the public in MapX"", ""The cartographic component of the World Environment Situation Room (WESR), which is the future UNEP digital platform for online data sharing"", ""Funded by the European Union, the SwitchMed Programme is implemented by the United Nations Industrial Development Organization (UNIDO), the United Nations Environment Programme (UNEP) Economy Division and MedWaves, the United Nations Environment Programme Mediterranean Action Plan (UNEP/MAP) regional activity centre for Sustainable Consumption and Production""]"
Ghana,2014-2018,2014,2018,2016,60,3,32.0,low evidence,48.0,96.0,True,UNEP Early Warning System Initiatives,https://www.adaptation-undp.org/sites/default/files/resources/unep_zinta_zommers_nina_raasakka.pdf,UNEP capacity building Ghana early warning system after:2014-01-01 before:2018-01-01,www_adaptation-undp_org_UNEP_Early_Warning_System_Initiatives.txt,"The document mentions work in Ghana related to early warning systems, specifically the CLIM-WARN project, which aims to improve communication of warnings to vulnerable populations. It also mentions partnership with the University of Ghana and the National Disaster Management Authority (Ghana). However, the evidence is mostly about project activities rather than institutionalized national systems.","UNEP is explicitly mentioned as a key player in the CLIM-WARN project, which includes Ghana as one of its case study countries. The document highlights UNEP's role in supporting early warning systems, including providing technical assistance and partnership with national authorities.","[""Working in three case study countries •Kenya •Ghana •Burkina Faso"", ""University of Ghana (Ghana) oNational Disaster Management Authority (Ghana)"", ""CLIM-WARN started in 2013 and will run until early 2015"", ""UNEP GEF Climate Change Adaptation Portfolio – over 25 projects in 20 countries funded through LDCF, SCCF and AF""]"
Ghana,2018-2022,2018,2022,2020,68,4,42.0,moderate evidence,64.0,168.0,True,Closure and Data Collection Report for CTCN Technical ...,https://www.ctc-n.org/system/files/dossier/3b/closure_report_ghana.pdf,in collaboration with UNEP Ghana early warning system after:2018-01-01 before:2022-01-01,www_ctc-n_org_Closure_and_Data_Collection_Report_for_CTCN_Techni.txt,"The document provides strong evidence of institutional strengthening and capacity building in Ghana during 2018-2022, particularly in the areas of environmental data systems, environmental statistics, and monitoring systems/early warning systems. A drought early warning system was developed and implemented, and national stakeholders were actively involved in the technical training and workshops.","The document explicitly links UNEP to strengthening or enabling the capacity in Ghana during 2018-2022. UNEP-DHI was the implementer of the response plan and provided technical assistance, including capacity building and training. The document mentions that UNEP-DHI supported the Water Resources Commission (WRC) with the development of a drought early warning system and provided access to near real-time satellite data and indices.","[""The technical assistance was initiated in October 2016 by an Inception workshop held in Accra. Based on feedback and discussions from stakeholder consultations a Needs Assessment report was prepared to present the objectives and requirements for the technical assistance."", ""The recommendations have then been taken into consideration to draft a more detailed description of the proposed outcome in the Technology specification report delivered in February 2017."", ""Based on the outlined requirement the Drought Monitoring and Early warning system for Ghana has been developed and a first version was presented at a national training held in Accra in October 2017."", ""UNEP-DHI will support WRC with support through e-mail and Skype to solve any questions or issues that may arise after the closure of the assistance.""]"
Ghana,2022-2026,2022,2026,2024,51,12,50.75,moderate evidence,72.0,609.01,True,About Ghana Climate Vulnerability Hub,https://ghclimatevulnerabilityhub.com/about.php,UNEP supported Ghana environmental data platform after:2022-01-01 before:2026-01-01,ghclimatevulnerabilityhub_com_About_Ghana_Climate_Vulnerability_Hub.txt,"The document provides clear evidence of Ghana's institutional and technical capacity to develop environmental data systems, environmental statistics, and monitoring systems. The Ghana Climate Vulnerability Hub is a comprehensive platform that provides climate and vulnerability data, interactive mapping tools, and integrates advanced GIS-based mapping capabilities with comprehensive datasets.","The document explicitly links UNEP to the development of the Ghana Climate Vulnerability Hub, stating that it was created through a collaborative partnership between the Environmental Protection Agency (EPA), the United Nations Environment Programme (UNEP), and the Green Climate Fund (GCF).","[""The Ghana Climate Vulnerability Hub is a transformative climate risk and vulnerability information portal developed as part of Ghana's National Adaptation Plan (NAP) Readiness Project."", ""Created through a collaborative partnership between the Environmental Protection Agency (EPA), the United Nations Environment Programme (UNEP), and the Green Climate Fund (GCF)"", ""The platform embodies Ghana's commitment to inclusive and gender-responsive climate action, incorporating gender considerations throughout its design"", ""The Hub establishes robust data-sharing protocols that enable regular updates and maintain the relevance of information over time"", ""The technical sophistication enables multi-layered analysis, allowing users to understand complex interactions between climate variables and their impacts on different sectors and communities""]"
India,2014-2018,2014,2018,2016,58,0,0.0,no evidence,0.0,0.0,False,Dr. Mostafa Kamal Tolba UNEP's second Executive Director dies,http://blog.felixdodds.net/2016/03/dr-mostafa-kamal-tolba-uneps-second.html,in partnership with UNEP India scientific assessment after:2014-01-01 before:2018-01-01,blog_felixdodds_net_Dr_Mostafa_Kamal_Tolba_UNEP_s_second_Executive_Dir.txt,"The document does not contain explicit evidence related to India's environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems / early warning systems, environmental information platforms, or national environmental reporting frameworks for the period 2014-2018.","The document does not explicitly link UNEP to strengthening or enabling any capacity in India during 2014-2018. It primarily discusses the legacy of Dr. Mostafa Kamal Tolba, former Executive Director of UNEP, and his contributions to environmental governance globally, but does not mention India or the specified time frame.",[]
India,2018-2022,2018,2022,2020,47,7,49.14,moderate evidence,64.0,344.0,True,Strengthening data monitoring and reporting to showcase ...,https://www.switch-asia.eu/news/strengthening-data-monitoring-and-reporting-to-showcase-indias-progress-in-achieving-sustainable-consumption-and-production/,UNEP project India environmental data after:2018-01-01 before:2022-01-01,www_switch-asia_eu_Strengthening_data_monitoring_and_reporting_to_sho.txt,"The document provides strong evidence of system development and institutional strengthening for environmental data systems and reporting in India during 2018-2022. It mentions the development of a draft study report on 'SDG 12 - An analysis of the SDG 12 National Indicator Framework and Recommendations for its Monitoring and Reporting' by TERI, in partnership with UNEP and the EU-funded SWITCH-Asia Programme. The report recommends strengthening data monitoring and reporting, including reporting on six categories of natural resources and periodic reporting of consumer and consumption data.","The document explicitly links UNEP to strengthening or enabling the capacity in India during 2018-2022. It mentions that UNEP, in partnership with the EU-funded SWITCH-Asia Programme and TERI, supported the development of the draft study report on SDG 12 monitoring and reporting. UNEP is also mentioned as the global custodian for 10 of the 13 indicators of SDG 12 and is credited for its role in advancing SDG 12 reporting in India.","[""The draft report was presented at the ‘National Consultative Roundtable Dialogue on Reporting and Monitoring of SDG 12 – Responsible Consumption and Production’, organised under the EU funded SWITCH-Asia Programme, in partnership with the United Nations Environment Programme (UNEP) and The Energy and Resources Institute (TERI)."", ""UNEP as the global custodian for 10 of the 13 indicators of SDG 12 is proud of the success achieved by MoEFCC, India on the advancement of SDG 12 reporting."", ""TERI carried out this study in cooperation with UNEP and with support of EU funded SWITCH-Asia RPAC to help develop an informed approach for SDG 12 monitoring and reporting in India.""]"
India,2022-2026,2022,2026,2024,38,3,50.67,moderate evidence,64.0,152.0,True,UNEP'S IMPACT ON INDIA'S ENVIRONMENTAL ...,https://juslextra.in/f/uneps-impact-on-indias-environmental-protection-efforts?blogcategory=Environmental+Law,UNEP provided technical assistance India scientific assessment after:2022-01-01 before:2026-01-01,juslextra_in_UNEP_S_IMPACT_ON_INDIA_S_ENVIRONMENTAL_.txt,"The document provides clear evidence of India's institutional and technical capacity development in environmental data systems, environmental statistics, scientific environmental assessments, monitoring systems, environmental information platforms, and national environmental reporting frameworks, with a focus on the period 2022-2026.","The document explicitly links UNEP to strengthening or enabling India's capacity in environmental protection efforts, including specific initiatives and programs implemented in collaboration with UNEP.","[""UNEP’s technical support and normative frameworks have been instrumental in shaping policy, implementing international commitments, and piloting innovative solutions."", ""UNEP administers the Multilateral Fund under the Montreal Protocol, assisting developing countries to phase out ozone-depleting substances (ODS)."", ""UNEP provides technology roadmaps, GHG inventories, and guidance on Nationally Determined Contributions (NDCs)."", ""UNEP’s Division of Environmental Law and Conventions develops legislative frameworks, supports environmental courts, and trains judges and regulators."", ""UNEP’s Global Environmental Data Explorer and early warning systems could be integrated with India’s National Remote Sensing Centre and INSAT satellites.""]"
Indonesia,2014-2018,2014,2018,2016,10,2,42.0,moderate evidence,48.0,84.0,True,Indonesia launches new budget-tracking system to better ...,https://www.climatepolicyinitiative.org/press-release/indonesia-launches-new-budget-tracking-system-better-target-climate-finance/,in collaboration with UNEP Indonesia environmental monitoring after:2014-01-01 before:2018-01-01,www_climatepolicyinitiative_org_Indonesia_launches_new_budget_tracking_system_to_b.txt,"The document provides evidence of Indonesia's institutional/technical capacity to develop environmental data systems, specifically a climate finance tracking and reporting system, which is an environmental data system. The system was launched by the Indonesian finance ministry with support from UNDP, UNEP, and CPI. Seven ministries are legally required to implement the budget-tracking system for climate mitigation activities by 2015.","The document explicitly links UNEP to strengthening or enabling Indonesia's capacity in environmental data systems. UNEP, along with UNDP and CPI, supported the development of the climate finance tracking and reporting system. The system is based on recommendations from the Low Emission Budget Tagging and Scoring System (LESS) study by UNDP and UNEP.","[""Indonesia launches new budget-tracking system to better target climate finance"", ""with support from the United Nations Development Programme (UNDP), United Nations Environment Programme (UNEP) and Climate Policy Initiative (CPI)"", ""based on recommendations from the Low Emission Budget Tagging and Scoring System (LESS) study by UNDP and UNEP"", ""Seven ministries are legally required to implement the budget-tracking system for climate mitigation activities by 2015""]"
Indonesia,2018-2022,2018,2022,2020,35,1,48.0,moderate evidence,48.0,48.0,True,UNEP supports project to restore peatlands in Indonesia,https://www.unep.org/news-and-stories/story/unep-supports-project-restore-peatlands-indonesia,UNEP project Indonesia environmental monitoring after:2018-01-01 before:2022-01-01,www_unep_org_UNEP_supports_project_to_restore_peatlands_in_Indo.txt,"The document provides moderate evidence of Indonesia's capacity development in environmental data systems and monitoring. The project supported by UNEP and other partners helped in developing a fire risk and vulnerability mapping tool, creating compacted peat dams, and training community-based fire brigades. These efforts indicate institutional strengthening and system development, though the outcomes may be partial or not fully institutionalized.","UNEP's role is explicitly mentioned in providing match funding, technical support, project design, and technical oversight. UNEP's peatland expert, Johan Kieft, is quoted and played a significant role in the project's design and implementation. The document clearly links UNEP to the project's outcomes, including the development of a fire risk system and community-driven peat rehabilitation methods.","[""UNEP supports project to restore peatlands in Indonesia"", ""UNEP provided match funding, technical support, project design and technical oversight"", ""a hydrological assessment, to facilitate community-driven peat rehabilitation methods in Central Kalimantan"", ""The project’s fire risk and vulnerability mapping tool identified Dusun Hilir District"", ""UNEP peatland expert Johan Kieft""]"
